ID,famille
1,Clupeidae
2,Engraulidae
3,Megalopidae
4,Exocoetidae
5,Centrolophidae
6,Stromateidae
7,Lamprididae
8,Bramidae
9,Luvaridae
10,Coryphaenidae
11,Pomatomidae
12,Centracanthidae
13,Argentinidae
14,Salmonidae
15,Osmeridae
16,Chlorophtalmidae
17,Paralepididae
18,Mugilidae
19,Atherinidae
20,Carangidae
21,Nomeidae
22,Merlucidae
23,Moronodae
24,Sphyraenidae
25,Scombridae
26,Belonidae
27,Scomberesocidae
28,Hemiramphidae
29,Xiphiidae
30,Istiophoridae
31,Molidae
32,Syngathidae
33,Alepisauridae
34,Trichiuridae
35,Tetraodontidae
36,Trachipteridae
37,Regalecitae
38,Lophotidae
39,Echeneidae
40,Acipenciridae
41,Ammodytidae
42,Cyprinodontidae
43,Esocidae
44,Sparidae
45,Kyphosydae
46,Haemulidae
47,Teraponidae
48,Lobotidae
49,Leiognathidae
50,Lutjanidae
51,Bythitidae
52,Gadidae
53,Labridae
54,Scaridae
55,Siganidae
56,Chaetodontidae
57,Chaetodontidae
58,Acanthuridae
59,Holocentridae
60,Priacanthidae
61,Serranidae
62,Polyprionidae
63,Apogonidae
64,Scianidae
65,Polynemidae
66,Moridae
67,Macrouridae
68,Caproidae
69,Zeidae
70,Pempheridae
71,Macroramphosidae
72,Gasterosteidae
73,Balistidae
74,Fistulariidae
75,Monocanthidae
76,Tetraodontidae
77,Diodontidae
78,Ostraciidae
79,Anarhichadidae
80,Zoarcidae
81,Stichaeidae
82,Blenniidae
83,Scorpaenidae
84,Cottidae
85,Gobiidae
86,Mullidae
87,Dactylopteridae
88,Triglidae
89,Peristediidae
90,Callionymidae
91,Synodontidae
92,Ariidae
93,Trachinidae
94,Uranoscopidae
95,Batrachoididae
96,Clinidae
97,Tripterigiidae
98,Petromyzonidae
99,Myxinidae
100,Congidae
101,Chlopsidae
102,Anguillidae
103,Murenidae
104,Optichtidae
105,Muraenesocidés
106,Heterenchelyidae
107,Nettastomatidae
108,Cepolidae
109,Carapidae
110,Pholididae
111,Lumpenidae
112,Ophidiidae
113,Pleuronectidae
114,Bothidae
115,Citharidae
116,Scophtalmidae
117,Soleidae
118,Cynoglossidae
119,Antennariidae
120,Lophiidae
121,Agonidae
122,Cyclopteridae
123,Liparididae
124,Gobiesocidae
125,Scyliorhinidae
126,Ginglymostomatidae
127,Triakidae
128,Leptochariidae
129,Hemigaleidae
130,Squalidae
131,Centrophoridae
132,Etmopteridae
133,Dalatiidae
134,Rhincodontidae
135,Oxynotidae
136,Hexanchiidae
137,Cetorhinidae
138,Odontaspididae
139,Lamnidae
140,Carcharhinidae
141,Alopiidae
142,Sphyrnidae
143,Pristidae
144,Squatinidae
145,Rhinobatidae
146,Rajidae
147,Dasyatidae
148,Myliobatidae
149,Mobulidae
150,Torpedinidae
151,Chimaeridae
