nom_scientifique,ID,nom_commun,autres_noms,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,lien_fiche_doris,Unnamed: 3,label,nb_images
Abantennarius nummifer,570,Le poisson crapaud tacheté,,119,9.0,10,10.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Abudefduf vaigiensis,250,Le sergent major de mer rouge,,57,15.0,18,,,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Acanthocybium Solandri,118,Le thazard bâtard,,25,150.0,180,0.0,15.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Acantholabrus palloni,236,L’acantholabre,,53,20.0,23,30.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Acanthostracion notacanthus,328,Le coffre nid d’abeille,,78,15.0,25,,,près du fond,,Peau toxique,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Acanthurus monroviae,252,Le poisson-chirurgien ouest-africain,,58,30.0,35,10.0,30.0,près du fond,,2pine du pédoncule caudal très tranchante,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Acipenser baerii,159,L’esturgeon siberien,,40,150.0,200,1.0,20.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Acipenser gueldenstaedti,162,L’esturgeon du Danube,,40,120.0,150,5.0,20.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Acipenser naccari,161,L’esturgeon de l’Adriatique,,40,100.0,150,10.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Acipenser nudiventris,158,L’esturgeon à barbillons frangés,,40,100.0,150,1.0,60.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Acipenser ruthenus,160,Le sterlet,,40,50.0,90,1.0,10.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Acipenser stellatus,157,L’esturgeon étoilé,,40,100.0,150,10.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Acipenser sturio,156,L’esturgeon européen,,40,150.0,200,20.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Aetomylaeus bovinus,681,L’aigle vachette,,148,100.0,150,2.0,100.0,Pleine eau et fond,,Dard venimeux,"Surtout au dessus des fonds meubles, souvent en pleine eau.",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.","DORIS, 12/11/2020 : Aetomylaeus bovinus (Geoffroy Saint-Hilaire, 1817)",https://doris.ffessm.fr/ref/specie/3578,,,
Agonus cataphractus,573,La souris de mer,,121,16.0,18,10.0,150.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Aidablennius sphynx,335,La blennie sphynx,,82,6.0,7,0.0,1.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," COUDRE Christian, ANDRÉ Frédéric in : DORIS, 18/07/2021 : Aidablennius sphynx (Valenciennes, 1836)",https://doris.ffessm.fr/ref/specie/2351,,43,449.0
Alectis ciliaris,83,La carangue à plumes,,20,100.0,130,1.0,100.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
